Corrida8('N =', 125, '   tiempo transcurrido =', 9.890000001178123e-05, '[seg] ', '   uso memoria total=', 187500, '[bytes] ', '   flops =', 19748483314.128803, '[flops/seg]')
Corrida8('N =', 150, '   tiempo transcurrido =', 0.00018009999985224567, '[seg] ', '   uso memoria total=', 270000, '[bytes] ', '   flops =', 18739589132.531124, '[flops/seg]')
Corrida8('N =', 250, '   tiempo transcurrido =', 0.0006245999993552687, '[seg] ', '   uso memoria total=', 750000, '[bytes] ', '   flops =', 25016010272.380093, '[flops/seg]')
Corrida8('N =', 500, '   tiempo transcurrido =', 0.00427049999962037, '[seg] ', '   uso memoria total=', 3000000, '[bytes] ', '   flops =', 29270577218.38473, '[flops/seg]')
Corrida8('N =', 700, '   tiempo transcurrido =', 0.012153899999248097, '[seg] ', '   uso memoria total=', 5880000, '[bytes] ', '   flops =', 28221393957.595486, '[flops/seg]')
Corrida8('N =', 750, '   tiempo transcurrido =', 0.01540979999845149, '[seg] ', '   uso memoria total=', 6750000, '[bytes] ', '   flops =', 27377058757.569447, '[flops/seg]')
Corrida8('N =', 1000, '   tiempo transcurrido =', 0.03588579999996, '[seg] ', '   uso memoria total=', 12000000, '[bytes] ', '   flops =', 27866175478.911285, '[flops/seg]')
Corrida8('N =', 2000, '   tiempo transcurrido =', 0.17252229999940027, '[seg] ', '   uso memoria total=', 48000000, '[bytes] ', '   flops =', 46370816990.196686, '[flops/seg]')
Corrida8('N =', 5000, '   tiempo transcurrido =', 2.847799799999848, '[seg] ', '   uso memoria total=', 300000000, '[bytes] ', '   flops =', 43893534931.776695, '[flops/seg]')

Corrida9('N =', 1, '   tiempo transcurrido =', 0.018880999999964843, '[seg] ', '   uso memoria total=', 12, '[bytes] ', '   flops =', 52.963296435668774, '[flops/seg]')
